#{"t_start": 1719614991.6370544, "env_id": "CTFENVMA_sb3"}
r,l,t,c,f,p,a
-1.0,183,384.138814,0,3.780499,1.563059,168_2_3_4_3_0_2_1_0_0_0_0_0_0_
-1.0,211,386.789751,0,26.648701,2.462158,194_0_1_5_7_1_2_1_0_0_0_0_0_0_
-1.0,191,389.109939,0,18.351362,2.584885,176_1_1_2_4_3_3_1_0_0_0_0_0_0_
-1.0,232,391.912313,0,14.82143,2.684795,214_0_3_2_6_4_1_2_0_0_0_0_0_0_
-1.0,165,394.044523,0,19.941435,2.506538,152_0_3_3_2_1_3_1_0_0_0_0_0_0_
-1.0,190,396.367165,0,12.173702,2.363825,175_0_3_3_4_0_3_2_0_0_0_0_0_0_
-1.0,167,398.381444,0,24.469406,2.673111,154_1_1_1_5_1_2_2_0_0_0_0_0_0_
-1.0,224,401.179946,0,14.939863,2.213966,206_0_2_7_6_0_2_1_0_0_0_0_0_0_
-1.0,237,404.086196,0,5.307591,1.385421,218_1_4_4_5_2_3_0_0_0_0_0_0_0_
-1.0,213,406.68586,0,2.745418,1.925761,196_1_3_4_4_2_3_0_0_0_0_0_0_0_
-1.0,166,410.749016,0,0.793693,1.971951,153_2_1_3_3_0_2_2_0_0_0_0_0_0_
-1.0,214,413.319814,0,10.076289,2.219252,197_0_2_6_5_1_2_1_0_0_0_0_0_0_
-1.0,253,416.427586,0,20.595951,2.695722,233_0_1_5_7_4_2_1_0_0_0_0_0_0_
-1.0,224,419.21728,0,17.730427,2.44725,206_0_2_5_7_1_2_1_0_0_0_0_0_0_
-1.0,168,421.280721,0,25.685663,1.752389,154_2_3_3_4_1_1_0_0_0_0_0_0_0_
-1.0,190,423.603979,0,18.923405,2.786574,175_0_2_3_4_3_2_1_0_0_0_0_0_0_
-1.0,193,426.037832,0,25.871555,1.533285,177_1_4_3_7_0_1_0_0_0_0_0_0_0_
-1.0,200,428.468224,0,14.119534,2.689706,184_0_2_4_5_3_2_0_0_0_0_0_0_0_
0.0,671,437.252036,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,444.775069,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,452.196009,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,459.593527,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,466.879959,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,474.332736,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,481.673553,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,489.06107,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,496.388992,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,503.839157,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
-1.0,231,506.724786,0,32.873276,1.965936,213_0_1_3_6_2_4_2_0_0_0_0_0_0_
-1.0,181,508.941991,0,27.711599,2.445861,167_0_2_4_3_1_3_1_0_0_0_0_0_0_
-1.0,234,513.763533,0,1.090647,1.992897,215_0_3_5_8_2_1_0_0_0_0_0_0_0_
-1.0,284,517.241107,0,11.413416,1.98322,261_0_2_7_9_3_2_0_0_0_0_0_0_0_
-1.0,241,520.304357,0,23.012428,2.559003,222_0_1_4_7_3_3_1_0_0_0_0_0_0_
-1.0,217,522.962798,0,14.926961,2.207654,200_0_3_3_6_1_3_1_0_0_0_0_0_0_
-1.0,263,526.151367,0,17.636871,2.118765,242_0_2_5_7_3_3_1_0_0_0_0_0_0_
-1.0,248,529.25677,0,1.070905,1.760502,228_0_3_7_7_2_1_0_0_0_0_0_0_0_
-1.0,197,531.676099,0,31.252972,1.853759,181_1_2_5_6_1_1_0_0_0_0_0_0_0_
-1.0,246,534.691237,0,34.581413,2.121663,226_0_2_7_9_2_0_0_0_0_0_0_0_0_
-1.0,207,539.176272,0,25.328575,2.430064,191_0_2_1_6_4_1_2_0_0_0_0_0_0_
-1.0,275,542.532715,0,14.182533,2.455226,253_0_1_6_10_3_2_0_0_0_0_0_0_0_
-1.0,242,545.619184,0,33.926739,1.538831,222_1_2_7_8_1_1_0_0_0_0_0_0_0_
-1.0,294,549.215379,0,6.539628,1.880129,270_0_1_9_11_2_1_0_0_0_0_0_0_0_
-1.0,277,552.812791,0,17.942007,2.448889,255_0_1_6_8_4_2_1_0_0_0_0_0_0_
-1.0,286,556.345421,0,19.529114,2.583698,263_0_0_7_10_4_2_0_0_0_0_0_0_0_
-1.0,249,559.390851,0,8.528172,2.207726,229_1_1_6_8_2_2_0_0_0_0_0_0_0_
-1.0,235,562.474058,0,7.261087,2.09727,216_0_3_4_8_1_2_1_0_0_0_0_0_0_
-1.0,189,566.782728,0,24.26004,2.801194,174_0_1_4_5_3_1_1_0_0_0_0_0_0_
-1.0,259,570.040605,0,6.558217,2.098918,238_0_1_8_9_2_1_0_0_0_0_0_0_0_
0.0,671,579.234406,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,586.710905,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,594.127932,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,601.658685,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,609.194196,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,616.724721,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,624.15565,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,631.707789,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,639.173911,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
0.0,671,646.791716,0,46.335831,0.007095,648_0_0_10_11_0_2_0_0_0_0_0_0_0_
-1.0,305,650.603057,0,9.282116,2.019248,280_0_0_10_11_3_1_0_0_0_0_0_0_0_
-1.0,261,653.758642,0,14.193938,2.226279,240_0_1_7_9_2_2_0_0_0_0_0_0_0_
-1.0,300,657.479148,0,15.491173,2.231768,276_0_0_9_11_1_2_1_0_0_0_0_0_0_
-1.0,307,661.186507,0,7.97419,2.000977,282_0_0_11_12_1_1_0_0_0_0_0_0_0_
-1.0,294,664.818996,0,6.530934,1.997293,270_0_1_8_11_3_1_0_0_0_0_0_0_0_
-1.0,309,670.309163,0,9.281682,2.095503,284_0_0_10_12_2_1_0_0_0_0_0_0_0_
-1.0,282,673.7807,0,11.580808,2.10492,259_0_1_8_9_3_2_0_0_0_0_0_0_0_
-1.0,297,677.334656,0,9.294356,2.113211,273_0_0_10_11_2_1_0_0_0_0_0_0_0_
-1.0,259,680.4981,0,0.910485,2.103341,238_1_0_7_9_3_1_0_0_0_0_0_0_0_
-1.0,244,683.430507,0,0.894434,1.978399,224_1_0_8_8_2_1_0_0_0_0_0_0_0_
-1.0,264,686.664781,0,14.185245,2.457037,243_0_1_6_9_3_2_0_0_0_0_0_0_0_
